Date,Max Temp,Avg Temp,Min Temp
2011-01-01,33.8,33.8,30.2
2011-08-01,57.2,53.6,46.4
2012-01-01,35.6,32,28.4
2012-08-01,59,55.4,50
2013-01-01,37.4,35.6,33.8
2013-08-01,53.6,51.8,46.4
2014-01-01,37.4,35.6,32
2014-08-01,57.2,53.6,48.2
2015-01-01,33.8,32,28.4
2015-08-01,57.2,53.6,48.2
2016-01-01,32,32,30.2
2016-08-01,57.2,53.6,48.2
2017-01-01,35.6,33.8,32
2017-08-01,55.4,53.6,48.2
2018-01-01,32,30.2,28.4
2018-08-01,53.6,51.8,46.4
2019-01-01,35.6,32,30.2
2019-08-01,59,55.4,50
2020-01-01,33.8,32,21.2
2020-08-01,53.6,51.8,46.4
2021-01-01,32,30.2,23
2021-08-01,57.2,55.4,50
2021-01-21,44.6,41,39.2
