Date,Max Temp,Avg Temp,Min Temp
11-Jan,33.8,33.8,30.2
11-Aug,57.2,53.6,46.4
12-Jan,35.6,32,28.4
12-Aug,59,55.4,50
13-Jan,37.4,35.6,33.8
13-Aug,53.6,51.8,46.4
14-Jan,37.4,35.6,32
14-Aug,57.2,53.6,48.2
15-Jan,33.8,32,28.4
15-Aug,57.2,53.6,48.2
16-Jan,32,32,30.2
16-Aug,57.2,53.6,48.2
17-Jan,35.6,33.8,32
17-Aug,55.4,53.6,48.2
18-Jan,32,30.2,28.4
18-Aug,53.6,51.8,46.4
19-Jan,35.6,32,30.2
19-Aug,59,55.4,50
20-Jan,33.8,32,21.2
20-Aug,53.6,51.8,46.4
21-Jan,32,30.2,23
21-Aug,57.2,55.4,50
21-Oct,44.6,41,39.2
